Actual,moving-bicycle,moving-bus,moving-car,moving-heavy-truck,moving-light-truck,moving-motorcycle,stationary-bicycle-offstreet,stationary-bicycle-onstreet,stationary-bus-onstreet,stationary-car-offstreet,stationary-car-onstreet,stationary-heavy-truck-offstreet,stationary-heavy-truck-onstreet,stationary-light-truck-offstreet,stationary-light-truck-onstreet,stationary-motorcycle-offstreet,stationary-motorcycle-onstreet,x_other,background
moving-bicycle,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
moving-bus,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
moving-car,0.0,0.0,61.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
moving-heavy-truck,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
moving-light-truck,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0
moving-motorcycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary-bicycle-offstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary-bicycle-onstreet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stationary-bus-onstreet,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary-car-offstreet,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0
stationary-car-onstreet,0.0,0.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,490.0,0.0,1.0,0.0,13.0,0.0,1.0,3.0,35.0
stationary-heavy-truck-offstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary-heavy-truck-onstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
stationary-light-truck-offstreet,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
stationary-light-truck-onstreet,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,32.0,0.0,0.0,0.0,3.0
stationary-motorcycle-offstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary-motorcycle-onstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
x_other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
background,6.0,4.0,66.0,8.0,21.0,3.0,0.0,3.0,0.0,73.0,153.0,1.0,0.0,7.0,22.0,1.0,4.0,4.0,0.0
